2023-11-29 23:14:37.369 [info] 试验“pythonPromptNewFormatterExt”处于活动状态
2023-11-29 23:14:37.369 [info] 试验“pythonPromptNewToolsExt”处于活动状态
2023-11-29 23:14:37.369 [info] 试验“pythonRecommendTensorboardExtcf”处于活动状态
2023-11-29 23:14:37.369 [info] 试验“pythonREPLSmartSend”处于活动状态
2023-11-29 23:14:37.369 [info] 试验“pythonTestAdapter”处于活动状态
2023-11-29 23:14:37.409 [info] Default formatter is set to ms-python.autopep8 for workspace /home/tianyi
2023-11-29 23:14:37.865 [info] Test server listening.
2023-11-29 23:14:37.866 [info] Python 解释器路径: /bin/python3
2023-11-29 23:14:38.144 [info] > /usr/bin/python3 -I ./.vscode-server/extensions/ms-python.python-2023.20.0/pythonFiles/get_output_via_markers.py ./.vscode-server/extensions/ms-python.python-2023.20.0/pythonFiles/interpreterInfo.py
2023-11-29 23:14:40.051 [info] 正在启动 Pylance 语言服务器。
2023-11-29 23:19:37.453 [info] Python 解释器路径: /usr/bin/python3
2023-11-29 23:55:42.580 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 01:16:11.257 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 01:16:22.731 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 01:16:35.755 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 01:16:37.413 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 01:17:18.632 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 01:17:39.349 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 01:44:01.233 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 01:45:48.128 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 01:45:53.187 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 01:45:55.548 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 01:48:55.199 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 01:49:12.018 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 01:49:16.022 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 01:49:21.426 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 01:49:25.528 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 01:49:47.999 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 01:49:51.390 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 01:50:00.630 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 02:02:49.410 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 02:03:46.303 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 02:04:17.326 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 02:05:32.044 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 02:05:42.148 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 02:05:49.485 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 03:10:10.399 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 03:10:21.400 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 03:10:41.844 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 03:11:23.649 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 03:11:40.974 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 03:12:12.793 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 03:12:32.511 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 03:13:02.172 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 03:14:03.741 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 03:14:17.790 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 03:19:50.098 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 03:29:20.804 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 03:39:57.804 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 03:44:33.067 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 03:44:40.978 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 03:44:41.273 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 04:02:49.161 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 04:03:06.755 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 04:05:24.089 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 04:05:33.726 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 04:08:10.102 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 04:08:11.309 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 04:11:18.565 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
2023-11-30 04:12:10.143 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/server.py
2023-11-30 04:24:13.469 [info] Discover tests for workspace name: tianyi - uri: /home/tianyi/generate.py
